"model","mu","est.mean","est.var","est.bias","mse.part","mse.sum.part","mae.part","est.esss","abserr.part","cov.part","hpd.part","num_iterations","numsources","diff1","diff2","k","outcome_type","truep","diff1_c","diff2_c"
"relaxedMEM_max",1,0.995072646321785,0.0226103951347243,-0.00492735367821495,0.0226346739489946,0.0226120635538598,0.111954688936685,18.2185429463186,0.00492735367821495,0.97,0.639358379267279,1000,3,0,1,0.9,"continuous",NA,"Mean Difference SS1 = 0","Mean Difference SS2 = 1"
"relaxedMEM_sqrtmax",1,0.995033508136481,0.0219118773862872,-0.00496649186351938,0.0219365434277176,0.0219146315503313,0.107225486409573,23.3775181565822,0.00496649186351938,0.969,0.609977881403538,1000,3,0,1,0.9,"continuous",NA,"Mean Difference SS1 = 0","Mean Difference SS2 = 1"
"relaxedMEM_stretch1",1,0.994983947659178,0.0213308710350452,-0.00501605234082203,0.021356031816131,0.021334700945096,0.102400260335251,28.6779768634029,0.00501605234082203,0.969,0.573478150093851,1000,3,0,1,0.9,"continuous",NA,"Mean Difference SS1 = 0","Mean Difference SS2 = 1"
"relaxedMEM_stretchsqrt",1,0.995096689488716,0.0220141796915169,-0.00490331051128434,0.022038222145487,0.0220162079657955,0.107826865721239,22.8680426770815,0.00490331051128434,0.967,0.612447265722253,1000,3,0,1,0.9,"continuous",NA,"Mean Difference SS1 = 0","Mean Difference SS2 = 1"
"relaxedMEM_twosource",1,0.994920420210541,0.0227545581043973,-0.0050795797894595,0.0227803602352348,0.0227576056771304,0.11268752290631,17.4211273918703,0.0050795797894595,0.968,0.641515492324647,1000,3,0,1,0.9,"continuous",NA,"Mean Difference SS1 = 0","Mean Difference SS2 = 1"
"MEM",1,0.994335415887697,0.0152351430417081,-0.00566458411230342,0.0152672305548734,0.0152519954118317,0.091421095203005,34.2678680941722,0.00566458411230342,0.985,0.579321810294711,1000,3,0.1,-0.1,0.9,"continuous",NA,"Mean Difference SS1 = 0.1","Mean Difference SS2 = -0.1"
"relaxedMEM_allornothing",1,0.99413521947494,0.0159111789915143,-0.00586478052505968,0.0159455746421214,0.0159296634631299,0.0857750109999474,60,0.00586478052505968,0.984,0.460772946280811,1000,3,0.1,-0.1,0.9,"continuous",NA,"Mean Difference SS1 = 0.1","Mean Difference SS2 = -0.1"
"relaxedMEM_max",1,0.994506434152527,0.0139402871004457,-0.00549356584747274,0.0139704663661662,0.0139565260790658,0.0859256756454396,35.2910396505594,0.00549356584747274,0.982,0.573399596556825,1000,3,0.1,-0.1,0.9,"continuous",NA,"Mean Difference SS1 = 0.1","Mean Difference SS2 = -0.1"
"relaxedMEM_sqrtmax",1,0.994375102673391,0.0144949218091412,-0.00562489732660931,0.0145265612790761,0.014512066357267,0.0856939096260041,44.4389936529087,0.00562489732660931,0.984,0.536883919141425,1000,3,0.1,-0.1,0.9,"continuous",NA,"Mean Difference SS1 = 0.1","Mean Difference SS2 = -0.1"
"relaxedMEM_stretch1",1,0.994245973389857,0.0145113481283861,-0.00575402661014313,0.0145444569506163,0.0145299456024879,0.0816503092863648,58.0759196931166,0.00575402661014313,0.983,0.488166670062143,1000,3,0.1,-0.1,0.9,"continuous",NA,"Mean Difference SS1 = 0.1","Mean Difference SS2 = -0.1"
"relaxedMEM_stretchsqrt",1,0.994260254903631,0.0153628252466512,-0.00573974509636876,0.0153957699204225,0.0153804070951758,0.0893312788295034,43.640555030216,0.00573974509636876,0.983,0.541504124430913,1000,3,0.1,-0.1,0.9,"continuous",NA,"Mean Difference SS1 = 0.1","Mean Difference SS2 = -0.1"
"relaxedMEM_twosource",1,0.993786543308852,0.0203058419287059,-0.00621345669114803,0.0203444489727586,0.0203241431308299,0.106073688501523,34.2678680941722,0.00621345669114803,0.983,0.585395963783845,1000,3,0.1,-0.1,0.9,"continuous",NA,"Mean Difference SS1 = 0.1","Mean Difference SS2 = -0.1"
"MEM",1,1.03287938182493,0.0154248187373927,0.032879381824928,0.0165058724865822,0.0164904476678448,0.0982560926461518,36.3672976184633,0.032879381824928,0.985,0.568551298475292,1000,3,0.1,0.1,0.9,"continuous",NA,"Mean Difference SS1 = 0.1","Mean Difference SS2 = 0.1"
"relaxedMEM_allornothing",1,1.03925239182488,0.0143756050882842,0.0392523918248846,0.0159163553522585,0.0159019797471702,0.102375711369935,60,0.0392523918248846,0.984,0.481798877901755,1000,3,0.1,0.1,0.9,"continuous",NA,"Mean Difference SS1 = 0.1","Mean Difference SS2 = 0.1"
"relaxedMEM_max",1,1.03360788180886,0.0152515201704389,0.0336078818088594,0.0163810098901172,0.0163657583699467,0.0978099175417152,37.6968862991364,0.0336078818088594,0.985,0.563031956184531,1000,3,0.1,0.1,0.9,"continuous",NA,"Mean Difference SS1 = 0.1","Mean Difference SS2 = 0.1"
"relaxedMEM_sqrtmax",1,1.03579907841153,0.0148411983904314,0.0357990784115347,0.0161227724055466,0.0161079312071561,0.0989250323468001,46.3549464020803,0.0357990784115347,0.984,0.534358906550588,1000,3,0.1,0.1,0.9,"continuous",NA,"Mean Difference SS1 = 0.1","Mean Difference SS2 = 0.1"
"relaxedMEM_stretch1",1,1.03846740541503,0.014475219808048,0.0384674054150342,0.0159549610874126,0.0159404858676045,0.101590724960085,57.9833209576385,0.0384674054150342,0.985,0.4891198568172,1000,3,0.1,0.1,0.9,"continuous",NA,"Mean Difference SS1 = 0.1","Mean Difference SS2 = 0.1"
"relaxedMEM_stretchsqrt",1,1.03529111576749,0.0149384957848633,0.0352911157674887,0.0161839586369776,0.0161690201411927,0.0986473308864272,45.3897665213016,0.0352911157674887,0.982,0.538933944711067,1000,3,0.1,0.1,0.9,"continuous",NA,"Mean Difference SS1 = 0.1","Mean Difference SS2 = 0.1"
"relaxedMEM_twosource",1,1.03287938182493,0.0154248187373927,0.032879381824928,0.0165058724865822,0.0164904476678448,0.0982560926461518,36.3672976184633,0.032879381824928,0.983,0.568882292335003,1000,3,0.1,0.1,0.9,"continuous",NA,"Mean Difference SS1 = 0.1","Mean Difference SS2 = 0.1"
"MEM",1,0.991877138473379,0.0380807520981237,-0.00812286152662078,0.0381467329775044,0.0381086522254062,0.151654847292689,0.143733349073706,0.00812286152662078,0.944,0.731921249776825,1000,3,1,-1,0.9,"continuous",NA,"Mean Difference SS1 = 1","Mean Difference SS2 = -1"
"relaxedMEM_allornothing",1,0.991877138473379,0.0380807520981237,-0.00812286152662078,0.0381467329775044,0.0381086522254062,0.151654847292689,0.143733349073706,0.00812286152662078,0.943,0.732082058460222,1000,3,1,-1,0.9,"continuous",NA,"Mean Difference SS1 = 1","Mean Difference SS2 = -1"
"relaxedMEM_max",1,0.991877138473379,0.0380807520981237,-0.00812286152662078,0.0381467329775044,0.0381086522254062,0.151654847292689,0.143733349073706,0.00812286152662078,0.941,0.73188817713928,1000,3,1,-1,0.9,"continuous",NA,"Mean Difference SS1 = 1","Mean Difference SS2 = -1"
"relaxedMEM_sqrtmax",1,0.991877138473379,0.0380807520981237,-0.00812286152662078,0.0381467329775044,0.0381086522254062,0.151654847292689,0.143733349073706,0.00812286152662078,0.944,0.732257094773433,1000,3,1,-1,0.9,"continuous",NA,"Mean Difference SS1 = 1","Mean Difference SS2 = -1"
